locationId,state,nationalRemoteAreas,sa4Name,lgaName,nationalRoadType,crashId
20195110_WA_Outer Regional Australia_Western Australia - Outback (South)_Kalgoorlie-Boulder_National or State Highway,WA,Outer Regional Australia,Western Australia - Outback (South),Kalgoorlie-Boulder,National or State Highway,20195110
20195118_WA_Very Remote Australia_Western Australia - Outback (North)_Halls Creek_Arterial Road,WA,Very Remote Australia,Western Australia - Outback (North),Halls Creek,Arterial Road,20195118
20192007_VIC_Inner Regional Australia_Geelong_Golden Plains_Local Road,VIC,Inner Regional Australia,Geelong,Golden Plains,Local Road,20192007
20191204_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Coffs Harbour_National or State Highway,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,National or State Highway,20191204
20195102_WA_Outer Regional Australia_Western Australia - Outback (South)_Greater Geraldton_National or State Highway,WA,Outer Regional Australia,Western Australia - Outback (South),Greater Geraldton,National or State Highway,20195102
20194057_SA_Major Cities of Australia_Adelaide - North_Salisbury_Arterial Road,SA,Major Cities of Australia,Adelaide - North,Salisbury,Arterial Road,20194057
20195062_WA_Major Cities of Australia_Perth - South East_Serpentine-Jarrahdale_Arterial Road,WA,Major Cities of Australia,Perth - South East,Serpentine-Jarrahdale,Arterial Road,20195062
20195085_WA_Inner Regional Australia_Bunbury_Busselton_National or State Highway,WA,Inner Regional Australia,Bunbury,Busselton,National or State Highway,20195085
20192076_VIC_Inner Regional Australia_Ballarat_Moorabool_National or State Highway,VIC,Inner Regional Australia,Ballarat,Moorabool,National or State Highway,20192076
20192079_VIC_Major Cities of Australia_Melbourne - West_Wyndham_National or State Highway,VIC,Major Cities of Australia,Melbourne - West,Wyndham,National or State Highway,20192079
20195046_WA_Inner Regional Australia_Western Australia - Wheat Belt_Northam_National or State Highway,WA,Inner Regional Australia,Western Australia - Wheat Belt,Northam,National or State Highway,20195046
20193086_QLD_Inner Regional Australia_Wide Bay_Bundaberg_Local Road,QLD,Inner Regional Australia,Wide Bay,Bundaberg,Local Road,20193086
20198003_ACT_Major Cities of Australia_Australian Capital Territory_Unincorporated ACT_Local Road,ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Local Road,20198003
20192190_VIC_Outer Regional Australia_Hume_Mansfield_National or State Highway,VIC,Outer Regional Australia,Hume,Mansfield,National or State Highway,20192190
20191153_NSW_Inner Regional Australia_Central Coast_Central Coast (NSW)_Arterial Road,NSW,Inner Regional Australia,Central Coast,Central Coast (NSW),Arterial Road,20191153
20192195_VIC_Inner Regional Australia_Hume_Strathbogie_Sub-arterial Road,VIC,Inner Regional Australia,Hume,Strathbogie,Sub-arterial Road,20192195
20195010_WA_Very Remote Australia_Western Australia - Outback (North)_Ashburton_National or State Highway,WA,Very Remote Australia,Western Australia - Outback (North),Ashburton,National or State Highway,20195010
20195146_WA_Inner Regional Australia_Bunbury_Waroona_Local Road,WA,Inner Regional Australia,Bunbury,Waroona,Local Road,20195146
20191251_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Port Stephens_Arterial Road,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,Arterial Road,20191251
20193158_QLD_Outer Regional Australia_Wide Bay_South Burnett_Sub-arterial Road,QLD,Outer Regional Australia,Wide Bay,South Burnett,Sub-arterial Road,20193158
20192009_VIC_Outer Regional Australia_North West_Buloke_National or State Highway,VIC,Outer Regional Australia,North West,Buloke,National or State Highway,20192009
20192161_VIC_Inner Regional Australia_Geelong_Golden Plains_Local Road,VIC,Inner Regional Australia,Geelong,Golden Plains,Local Road,20192161
20194074_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Adelaide Plains_National or State Highway,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Adelaide Plains,National or State Highway,20194074
20191046_NSW_Outer Regional Australia_Mid North Coast_Mid-Coast_Sub-arterial Road,NSW,Outer Regional Australia,Mid North Coast,Mid-Coast,Sub-arterial Road,20191046
20195078_WA_Major Cities of Australia_Perth - South West_Fremantle_Local Road,WA,Major Cities of Australia,Perth - South West,Fremantle,Local Road,20195078
20193191_QLD_Outer Regional Australia_Darling Downs - Maranoa_Goondiwindi_National or State Highway,QLD,Outer Regional Australia,Darling Downs - Maranoa,Goondiwindi,National or State Highway,20193191
20191053_NSW_Major Cities of Australia_Sydney - Inner South West_Georges River_Arterial Road,NSW,Major Cities of Australia,Sydney - Inner South West,Georges River,Arterial Road,20191053
20191299_NSW_Remote Australia_New England and North West_Narrabri_Arterial Road,NSW,Remote Australia,New England and North West,Narrabri,Arterial Road,20191299
20194009_SA_Major Cities of Australia_Adelaide - North_Playford_Collector Road,SA,Major Cities of Australia,Adelaide - North,Playford,Collector Road,20194009
20195014_WA_Outer Regional Australia_Western Australia - Outback (South)_Chapman Valley_Arterial Road,WA,Outer Regional Australia,Western Australia - Outback (South),Chapman Valley,Arterial Road,20195014
20193087_QLD_Outer Regional Australia_Townsville_Townsville_National or State Highway,QLD,Outer Regional Australia,Townsville,Townsville,National or State Highway,20193087
20197007_NT_Outer Regional Australia_Darwin_Darwin_Local Road,NT,Outer Regional Australia,Darwin,Darwin,Local Road,20197007
20191265_NSW_Inner Regional Australia_Mid North Coast_Nambucca Valley_Sub-arterial Road,NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley,Sub-arterial Road,20191265
20191174_NSW_Outer Regional Australia_Capital Region_Hilltops_Sub-arterial Road,NSW,Outer Regional Australia,Capital Region,Hilltops,Sub-arterial Road,20191174
20195075_WA_Major Cities of Australia_Perth - South East_Armadale_Arterial Road,WA,Major Cities of Australia,Perth - South East,Armadale,Arterial Road,20195075
20191079_NSW_Outer Regional Australia_Capital Region_Eurobodalla_Local Road,NSW,Outer Regional Australia,Capital Region,Eurobodalla,Local Road,20191079
20194093_SA_Major Cities of Australia_Adelaide - North_Salisbury_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - North,Salisbury,Sub-arterial Road,20194093
20191074_NSW_Outer Regional Australia_Far West and Orana_Dubbo_Arterial Road,NSW,Outer Regional Australia,Far West and Orana,Dubbo,Arterial Road,20191074
20191069_NSW_Major Cities of Australia_Sydney - Sutherland_Sutherland_Arterial Road,NSW,Major Cities of Australia,Sydney - Sutherland,Sutherland,Arterial Road,20191069
20192198_VIC_Outer Regional Australia_Latrobe - Gippsland_East Gippsland_Arterial Road,VIC,Outer Regional Australia,Latrobe - Gippsland,East Gippsland,Arterial Road,20192198
20191308_NSW_Outer Regional Australia_Coffs Harbour - Grafton_Clarence Valley_Arterial Road,NSW,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road,20191308
20197009_NT_Very Remote Australia_Northern Territory - Outback_Central Desert_Arterial Road,NT,Very Remote Australia,Northern Territory - Outback,Central Desert,Arterial Road,20197009
20195011_WA_Major Cities of Australia_Perth - South East_Canning_Arterial Road,WA,Major Cities of Australia,Perth - South East,Canning,Arterial Road,20195011
20193120_QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Sub-arterial Road,QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Sub-arterial Road,20193120
20193063_QLD_Inner Regional Australia_Darling Downs - Maranoa_Toowoomba_National or State Highway,QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,National or State Highway,20193063
20193054_QLD_Major Cities of Australia_Ipswich_Brisbane_Collector Road,QLD,Major Cities of Australia,Ipswich,Brisbane,Collector Road,20193054
20191139_NSW_Major Cities of Australia_Sydney - South West_Fairfield_Arterial Road,NSW,Major Cities of Australia,Sydney - South West,Fairfield,Arterial Road,20191139
20192106_VIC_Inner Regional Australia_Shepparton_Greater Shepparton_Local Road,VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Local Road,20192106
20191292_NSW_Inner Regional Australia_Central West_Oberon_Arterial Road,NSW,Inner Regional Australia,Central West,Oberon,Arterial Road,20191292
20192241_VIC_Major Cities of Australia_Melbourne - North East_Nillumbik_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - North East,Nillumbik,Sub-arterial Road,20192241
20194109_SA_Outer Regional Australia_South Australia - South East_Tatiara_Arterial Road,SA,Outer Regional Australia,South Australia - South East,Tatiara,Arterial Road,20194109
20194095_SA_Major Cities of Australia_Adelaide - North_Playford_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - North,Playford,Sub-arterial Road,20194095
20194035_SA_Major Cities of Australia_Adelaide - West_Port Adelaide Enfield_National or State Highway,SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,National or State Highway,20194035
20191038_NSW_Major Cities of Australia_Hunter Valley exc Newcastle_Port Stephens_Arterial Road,NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Port Stephens,Arterial Road,20191038
20192179_VIC_Major Cities of Australia_Melbourne - North East_Banyule_Local Road,VIC,Major Cities of Australia,Melbourne - North East,Banyule,Local Road,20192179
20192132_VIC_Inner Regional Australia_Shepparton_Greater Shepparton_Local Road,VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Local Road,20192132
20191295_NSW_Outer Regional Australia_Riverina_Temora_Arterial Road,NSW,Outer Regional Australia,Riverina,Temora,Arterial Road,20191295
20195028_WA_Remote Australia_Western Australia - Outback (South)_Esperance_Arterial Road,WA,Remote Australia,Western Australia - Outback (South),Esperance,Arterial Road,20195028
20192168_VIC_Outer Regional Australia_Warrnambool and South West_Glenelg_National or State Highway,VIC,Outer Regional Australia,Warrnambool and South West,Glenelg,National or State Highway,20192168
20191129_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Clarence Valley_Sub-arterial Road,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Sub-arterial Road,20191129
20193077_QLD_Inner Regional Australia_Wide Bay_Gympie_Local Road,QLD,Inner Regional Australia,Wide Bay,Gympie,Local Road,20193077
20193128_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Access road,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Access road,20193128
20192136_VIC_Inner Regional Australia_Shepparton_Greater Shepparton_Arterial Road,VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Arterial Road,20192136
20191054_NSW_Inner Regional Australia_Central West_Orange_Local Road,NSW,Inner Regional Australia,Central West,Orange,Local Road,20191054
20194070_SA_Remote Australia_South Australia - South East_Kingston (SA)_Arterial Road,SA,Remote Australia,South Australia - South East,Kingston (SA),Arterial Road,20194070
20195030_WA_Major Cities of Australia_Perth - North East_Mundaring_National or State Highway,WA,Major Cities of Australia,Perth - North East,Mundaring,National or State Highway,20195030
20192042_VIC_Inner Regional Australia_Ballarat_Moorabool_National or State Highway,VIC,Inner Regional Australia,Ballarat,Moorabool,National or State Highway,20192042
20197012_NT_Very Remote Australia_Northern Territory - Outback_Roper Gulf_Arterial Road,NT,Very Remote Australia,Northern Territory - Outback,Roper Gulf,Arterial Road,20197012
20191065_NSW_Outer Regional Australia_New England and North West_Walcha_National or State Highway,NSW,Outer Regional Australia,New England and North West,Walcha,National or State Highway,20191065
20192145_VIC_Major Cities of Australia_Melbourne - Inner East_Boroondara_Local Road,VIC,Major Cities of Australia,Melbourne - Inner East,Boroondara,Local Road,20192145
20191003_NSW_Inner Regional Australia_Sydney - Outer South West_Sutherland_Arterial Road,NSW,Inner Regional Australia,Sydney - Outer South West,Sutherland,Arterial Road,20191003
20197022_NT_Outer Regional Australia_Darwin_Litchfield_National or State Highway,NT,Outer Regional Australia,Darwin,Litchfield,National or State Highway,20197022
20192180_VIC_Inner Regional Australia_Shepparton_Campaspe_Sub-arterial Road,VIC,Inner Regional Australia,Shepparton,Campaspe,Sub-arterial Road,20192180
20194043_SA_Inner Regional Australia_Adelaide - Central and Hills_Mount Barker_Arterial Road,SA,Inner Regional Australia,Adelaide - Central and Hills,Mount Barker,Arterial Road,20194043
20192025_VIC_Major Cities of Australia_Melbourne - West_Melton_Collector Road,VIC,Major Cities of Australia,Melbourne - West,Melton,Collector Road,20192025
20191288_NSW_Inner Regional Australia_Illawarra_Wollongong_National or State Highway,NSW,Inner Regional Australia,Illawarra,Wollongong,National or State Highway,20191288
20197004_NT_Remote Australia_Northern Territory - Outback_Victoria Daly_National or State Highway,NT,Remote Australia,Northern Territory - Outback,Victoria Daly,National or State Highway,20197004
20192057_VIC_Outer Regional Australia_North West_Mildura_National or State Highway,VIC,Outer Regional Australia,North West,Mildura,National or State Highway,20192057
20191055_NSW_Inner Regional Australia_Richmond - Tweed_Richmond Valley_Sub-arterial Road,NSW,Inner Regional Australia,Richmond - Tweed,Richmond Valley,Sub-arterial Road,20191055
20196007_TAS_Inner Regional Australia_Hobart_Brighton_National or State Highway,TAS,Inner Regional Australia,Hobart,Brighton,National or State Highway,20196007
20191177_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Arterial Road,20191177
20194063_SA_Major Cities of Australia_Adelaide - North_Tea Tree Gully_Local Road,SA,Major Cities of Australia,Adelaide - North,Tea Tree Gully,Local Road,20194063
20193190_QLD_Inner Regional Australia_Darling Downs - Maranoa_Toowoomba_Sub-arterial Road,QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,Sub-arterial Road,20193190
20195113_WA_Inner Regional Australia_Perth - South East_Serpentine-Jarrahdale_Arterial Road,WA,Inner Regional Australia,Perth - South East,Serpentine-Jarrahdale,Arterial Road,20195113
20194075_SA_Major Cities of Australia_Adelaide - North_Playford_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - North,Playford,Sub-arterial Road,20194075
20191323_NSW_Outer Regional Australia_Mid North Coast_Port Macquarie-Hastings_National or State Highway,NSW,Outer Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,20191323
20191190_NSW_Outer Regional Australia_New England and North West_Tamworth_Arterial Road,NSW,Outer Regional Australia,New England and North West,Tamworth,Arterial Road,20191190
20191036_NSW_Outer Regional Australia_Capital Region_Bega Valley_Arterial Road,NSW,Outer Regional Australia,Capital Region,Bega Valley,Arterial Road,20191036
